Entity,Code,Year,Energy_consumption_per_capita
Kenya,KEN,2000,1350.8173
Kenya,KEN,2001,1260.5343
Kenya,KEN,2002,1247.1029
Kenya,KEN,2003,1111.7842
Kenya,KEN,2004,1188.4789
Kenya,KEN,2005,1259.569
Kenya,KEN,2006,1350.3188
Kenya,KEN,2007,1309.0212
Kenya,KEN,2008,1288.5437
Kenya,KEN,2009,1398.1256
Kenya,KEN,2010,1447.064
Kenya,KEN,2011,1465.1292
Kenya,KEN,2012,1354.3319
Kenya,KEN,2013,1423.8463
Kenya,KEN,2014,1470.0199
Kenya,KEN,2015,1671.8329
Kenya,KEN,2016,1743.2766
Kenya,KEN,2017,1727.4929
Kenya,KEN,2018,1644.6803
Kenya,KEN,2019,1678.614
Kenya,KEN,2020,1565.2426
Kenya,KEN,2021,1634.8809
Kenya,KEN,2022,1609.9459
Kenya,KEN,2023,1607.9135
